name,size,status,major,dorm,gender,degree
American75,6370,0.287762499500717,0.045843852770420836,0.21905622394555968,0.025527325972064245,0.0659587674257628
Amherst41,2235,0.4034107230365701,0.042037553944773626,0.07481425548102764,0.04728403063049691,0.05842838917212475
Auburn71,18448,0.19188583301598133,0.039702277549642534,0.24042736612322696,0.07860332165875689,0.0010457492217915336
Baylor93,12799,0.3000987995149414,0.04417239145417013,0.23150641474238148,0.07965571652838546,0.07872590537497841
BC17,11498,0.5331580159766857,0.0400849061999492,0.12056182013276638,0.013833945556573983,0.076014632468665
Berkeley13,22900,0.2745119639667652,0.05824291382973689,0.1472739119825444,0.040911909988091376,0.010302260499137766
Bingham82,10001,0.2856649388048818,0.04680338384655224,0.16443840815123933,0.014380634332356042,0.13735165585524722
Bowdoin47,2250,0.40499817577675323,0.05271676597127179,0.10031441980247546,0.034366477200931084,0.056176863076386314
Brandeis99,3887,0.3738853695449561,0.039960628508312925,0.17898180842824604,0.018010407718787143,-0.02554054493267737
Brown11,8586,0.4245493458469022,0.03911451404909541,0.10271179366616427,0.025178256264217883,0.06935648619728345
BU10,19666,0.4217653197787562,0.06793056370707955,0.12573603906004685,0.017719853203665786,0.04533425229383022
Bucknell39,3824,0.4369859056892818,0.0506831846036092,0.1811763389286013,0.09533676584036051,0.09448957325052112
Cal65,11243,0.18783784418218435,0.10539863832221572,0.21343925842398645,0.019867111979971066,0.19160066608392712
Caltech36,762,0.24366969578420428,0.03472395191173091,0.34909572723443166,0.04629450586157532,-0.06617072568577184
Carnegie49,6621,0.31138084733248605,0.13164269381955968,0.14016190000040732,0.0822045906777971,0.12245847228737619
Colgate88,3482,0.4409103362420721,0.05220371082480271,0.15031593379176325,0.07061993504364951,0.0670008825165129
Columbia2,11706,0.42275448271606286,0.04296372435742533,0.12659829811882659,0.06889626651434885,-0.0022173081731901244
Cornell5,18621,0.40565343236247337,0.08762381361411431,0.17551794116011898,0.07226831738099669,0.01803334888857543
Dartmouth6,7677,0.41218593513830604,0.03902342363224041,0.12222885074563476,0.07690266494914885,0.04431174812471217
Duke14,9885,0.4720494572245557,0.04204920641008297,0.12995219038012118,0.0842453121095362,0.06665596414930891
Emory27,7449,0.3939037373915359,0.03452358357429321,0.17593581282392837,0.07662949550422855,0.06628595853500642
FSU53,27731,0.22214350386320253,0.04276305726791335,0.18570579297404893,0.03443244753329318,0.09935852955917497
Georgetown15,9388,0.5188036638237555,0.0410612663381189,0.1270281967970192,0.013211160975992349,0.07534736669644741
GWU54,12164,0.35810083655374614,0.04280022474055761,0.15602588880295445,0.024761383899994806,0.02525492582618745
Hamilton46,2312,0.34640954862532236,0.03783366694546707,0.10509792769883947,0.07574895874930715,0.030568329724581796
Harvard1,15086,0.542615380559246,0.0496688211364049,0.12566737526574703,0.04524717247023845,0.14500018217245078
Haverford76,1446,0.380880994739837,0.03444328988167116,0.12501507074129053,0.05374157562151384,0.06749211773411773
Howard90,4047,0.27962718528340236,0.04267554932236929,0.11269101834435273,-0.08249330495373783,0.05788251760170504
Indiana69,29732,0.29512738518844017,0.043390283797977575,0.2649707430994523,0.014163667578755264,0.13292470722443717
JMU79,14070,0.3109844995559799,0.05286918963311421,0.15673106358569272,-0.005731767649378153,0.002951501048267594
Johns Hopkins55,5157,0.325039825491577,0.06352136708653754,0.1093807485593634,0.08195980870527383,0.07967055214259584
Lehigh96,5073,0.3066868969784092,0.04255338869989487,0.23143860022786256,0.061530531106261555,0.03513316501153229
Maine59,9065,0.15737256550699188,0.05899683001506986,0.15759585323394737,-0.002932448855015315,0.07314360888978971
Maryland58,20829,0.2731939229399579,0.0513739930661873,0.16126297152756144,0.04833803934342263,0.001406663143869357
Mich67,3745,0.22862512534166476,0.07497058636432667,0.22538765949929632,0.05254607655302713,0.1417016861178262
Michigan23,30106,0.3439661170050704,0.05903494781440974,0.15922823462335065,0.06374088088664291,0.11497623627365859
Middlebury45,3069,0.40959896782749766,0.04479913135276607,0.14730209990970256,0.032075044478290154,0.07841541140353592
Mississippi66,10519,0.24395228345157868,0.039471424634412375,0.21318037967234668,0.09259626462375216,0.15067000896993998
MIT8,6402,0.315202214921278,0.058022018026844355,0.17875905455484223,0.1063564612278518,0.119895513133416
MSU24,32361,0.28231241526784107,0.03942356978193254,0.17311405545603573,0.006222382089040888,0.009045758336231544
MU78,15425,0.3231239494298049,0.0466986153980868,0.23560252283276106,0.10228028549053511,0.1584331491509873
Northeastern19,13868,0.27360778517070505,0.0970863412546683,0.15134118467157837,-0.0038093513034742404,0.06812004317425678
Northwestern25,10537,0.3620866932899922,0.08263666858500783,0.1924737857996378,0.08531977831369236,0.03439627433056811
Notre Dame57,12149,0.46316812368436394,0.04678693356889398,0.20908558121905815,0.11054412037153445,0.04770519078558905
NYU9,21623,0.3475775834266083,0.10564405386047988,0.15742922754238067,-0.0016316939886880987,0.010609595309535298
Oberlin44,2920,0.23011231473520424,0.09350709613377944,0.14980232456217782,0.016933035244921516,0.05008017692087418
Oklahoma97,17420,0.1946354479279394,0.03637824878110511,0.28033136552953103,0.0928338595788305,0.07366867873136711
Penn94,41536,0.24322176345137367,0.04911735956594852,0.19983248137890555,0.01859939385077907,-0.0013283110756584946
Pepperdine86,3440,0.33784650413836864,0.03372830189942987,0.13296452523524874,0.05294322768021276,0.05544401454006126
Princeton12,6575,0.48217256350680926,0.05437146518552727,0.09465908835734296,0.05059053693079209,0.09098016724554245
Reed98,962,0.2623369004087465,0.04211843774592218,0.14559977311086097,0.020109792303167198,0.023433911766299838
